Дата,Код літерний,"Офіційний курс гривні, грн"
"20,10,2019",USD,"24,733852"
"21,10,2019",USD,"25,035071"
"22,10,2019",USD,"24,975156"
"23,10,2019",USD,"24,844629"
"24,10,2019",USD,"24,892529"
"25,10,2019",USD,"25,114112"
"26,10,2019",USD,"25,114112"
"27,10,2019",USD,"25,114112"
"28,10,2019",USD,"25,174116"
"29,10,2019",USD,"25,067144"
"30,10,2019",USD,"25,113805"
"31,10,2019",USD,"24,995421"
"01,11,2019",USD,"24,819089"
"02,11,2019",USD,"24,819089"
"03,11,2019",USD,"24,819089"
"04,11,2019",USD,"24,738144"
"05,11,2019",USD,"24,798021"
"06,11,2019",USD,"24,719467"
"07,11,2019",USD,"24,657612"
"08,11,2019",USD,"24,515816"
"09,11,2019",USD,"24,515816"
"10,11,2019",USD,"24,515816"
"11,11,2019",USD,"24,501887"
"12,11,2019",USD,"24,511018"
"13,11,2019",USD,"24,461896"
"14,11,2019",USD,"24,315588"
"15,11,2019",USD,"24,244999"
"16,11,2019",USD,"24,244999"
"17,11,2019",USD,"24,244999"
"18,11,2019",USD,"24,220132"
"19,11,2019",USD,"24,137178"
"20,11,2019",USD,"24,203928"
"21,11,2019",USD,"24,183603"
"22,11,2019",USD,"24,193689"
"23,11,2019",USD,"24,193689"
"24,11,2019",USD,"24,193689"
"25,11,2019",USD,"24,164262"
"26,11,2019",USD,"24,053801"
"27,11,2019",USD,"23,982702"
"28,11,2019",USD,"23,984391"
"29,11,2019",USD,"24,035575"
"30,11,2019",USD,"24,035575"
"01,12,2019",USD,"24,035575"
"02,12,2019",USD,"23,972276"
"03,12,2019",USD,"23,957354"
"04,12,2019",USD,"23,939216"
"05,12,2019",USD,"23,930282"
"06,12,2019",USD,"23,877034"
"07,12,2019",USD,"23,877034"
"08,12,2019",USD,"23,877034"
"09,12,2019",USD,"23,724789"
"10,12,2019",USD,"23,688511"
"11,12,2019",USD,"23,689203"
"12,12,2019",USD,"23,603546"
"13,12,2019",USD,"23,563276"
"14,12,2019",USD,"23,563276"
"15,12,2019",USD,"23,563276"
"16,12,2019",USD,"23,497996"
"17,12,2019",USD,"23,490376"
"18,12,2019",USD,"23,469132"
"19,12,2019",USD,"23,413086"
"20,12,2019",USD,"23,374052"
"21,12,2019",USD,"23,325284"
"22,12,2019",USD,"23,325284"
"23,12,2019",USD,"23,291225"
"24,12,2019",USD,"23,275766"
"25,12,2019",USD,"23,275766"
"26,12,2019",USD,"23,255155"
"27,12,2019",USD,"23,292885"
"28,12,2019",USD,"23,6862"
"29,12,2019",USD,"23,6862"
"30,12,2019",USD,"23,6862"
"31,12,2019",USD,"23,6862"
